,gameId,gameDuraton,blueWins,blueWardPlaced,blueKills,blueDeath,redWardPlaced,blueTotalGoldDiff,blueTotalMinionKillDiff,FirstTowerDiff,HeraldDiff,FirstDragonDiff,blueJungleMinionDiff,TotalAssistDiff,AvgLevelDiff
8503,4174648135,1828,0,98,18,29,106,-8862,-35,-1,-1,-1,-15,-19,-1.8000000000000007
8504,4174654080,977,0,36,5,17,34,-11580,-90,-1,0,1,-18,-16,-1.3999999999999986
8505,4174517472,2121,1,108,31,19,109,9399,25,1,1,1,49,29,0.8000000000000007
8506,4174449704,1802,1,81,24,23,90,6553,38,1,0,-1,19,-6,0.7999999999999989
8507,4174423627,959,1,43,14,3,34,8252,79,1,0,-1,-18,14,0.8000000000000007
8508,4174363831,1115,0,35,9,18,28,-5429,-18,1,0,-1,-32,-20,-1.3999999999999986
8509,4165709405,1623,1,64,28,15,74,9808,46,1,1,-1,6,42,1.4000000000000004
8510,4165687429,1778,0,72,17,31,75,-10627,-150,1,0,-1,-29,-26,-2.0
8511,4165705422,1180,1,54,25,5,43,10657,-59,1,0,-1,20,49,1.5999999999999996
8512,4165723625,975,0,33,6,28,42,-11901,-97,-1,0,-1,-6,-30,-1.8000000000000007
8513,4152811099,1497,1,58,33,20,54,13147,101,1,1,1,84,20,1.8000000000000007
8514,4144395912,1667,0,75,22,27,84,-6597,16,-1,-1,1,-10,-6,-1.5999999999999996
8515,4137729889,1138,0,32,7,22,32,-15544,-120,-1,0,-1,-80,-29,-1.1999999999999993
8516,4137726446,1413,0,50,15,24,60,-8158,-42,-1,0,-1,-27,-17,-0.5999999999999996
8517,4137792298,1030,1,38,18,11,42,6165,59,1,0,-1,8,6,0.7999999999999989
8518,4137669688,1268,1,47,27,12,47,8011,-11,1,0,1,9,33,0.8000000000000007
8519,4137694267,1523,1,56,26,23,56,3570,-69,-1,1,-1,-50,34,1.0
8520,4137618582,1669,1,52,26,21,75,8097,80,1,-1,1,86,1,0.5999999999999996
8521,4137602894,1200,1,37,31,16,34,13387,69,1,0,1,34,14,1.0
8522,4135716754,1187,0,35,12,26,32,-11971,-55,-1,0,-1,-30,-14,-1.1999999999999993
8523,4125416636,1421,1,47,32,16,80,9290,14,1,0,-1,-29,35,0.5999999999999996
8524,4125431600,1788,0,83,18,25,67,-8409,-18,1,0,-1,-113,-22,-1.200000000000001
8525,4125357161,1299,0,41,21,30,43,-10756,-70,-1,0,-1,-90,-29,-1.5999999999999996
8526,4125300342,1588,1,59,39,26,64,12984,71,1,1,-1,57,17,1.5999999999999996
8527,4125174218,1344,0,58,16,33,71,-7238,-10,1,-1,-1,11,-23,-2.0
8528,4125094078,1783,1,109,26,17,97,12156,63,1,1,1,70,29,1.8000000000000007
8529,4125002358,1729,0,90,24,41,90,-12416,-132,-1,-1,-1,-29,-28,-1.8000000000000007
8530,4124912189,1543,0,53,20,34,52,-12042,42,1,-1,-1,-55,-45,-1.799999999999999
8531,4118779591,2214,1,109,39,32,142,7784,102,1,-1,-1,39,20,0.7999999999999989
